GalaxyName,Class,Family,NPoints,RMSLog,ImprovementVsFixedS1,Coefficients,FitUse,Guardrail
NGC2976,C,quadratic_acceleration,27,0.147371061,0.053332237,0.323145807;3.704911144;-6.097939247,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2976,C,radius_plus_acceleration,27,0.161566133,0.039137165,1.283641362;0.235319679;-1.745948578,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3109,C,galaxy_constant,25,0.267465460,-0.094967275,1.237941023,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3109,C,linear_radius,25,0.227592415,-0.055094229,0.879787178;0.717733439,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3109,C,quadratic_radius,25,0.223511043,-0.051012857,0.811050394;1.159953148;-0.440977443,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3109,C,linear_acceleration,25,0.254836636,-0.082338450,1.937163592;-0.413359435,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3109,C,quadratic_acceleration,25,0.253429688,-0.080931502,-2.671686479;4.610063010;-1.335684788,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3109,C,radius_plus_acceleration,25,0.228091025,-0.055592839,0.835788204;0.725229757;0.023799477,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3198,A,galaxy_constant,43,0.184807072,-0.000598253,0.970508933,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3198,A,linear_radius,43,0.191468968,-0.007260150,0.909550864;0.101920995,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3198,A,quadratic_radius,43,0.192910101,-0.008701282,0.793083191;0.753982137;-0.611506190,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3198,A,linear_acceleration,43,0.194877259,-0.010668440,0.843204413;0.109806827,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3198,A,quadratic_acceleration,43,0.189485211,-0.005276392,0.369822623;1.421594918;-0.686516144,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3198,A,radius_plus_acceleration,43,0.192990774,-0.008781956,0.641429002;-1.030184875;0.815305839,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3741,C,galaxy_constant,21,0.304564283,-0.191541822,1.329227629,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3741,C,linear_radius,21,0.298256481,-0.185234019,0.995566796;0.644175576,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3741,C,quadratic_radius,21,0.298846119,-0.185823657,0.710745466;2.111075235;-1.351992979,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3741,C,linear_acceleration,21,0.300523098,-0.187500636,-0.288231538;0.880445066,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3741,C,quadratic_acceleration,21,0.301322084,-0.188299622,-0.825692458;1.540149710;-0.196461051,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3741,C,radius_plus_acceleration,21,0.300939397,-0.187916935,-0.374480627;-0.060074435;0.944331655,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3917,A,galaxy_constant,17,0.193309032,-0.000539068,0.997229717,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3917,A,linear_radius,17,0.194030438,-0.001260474,0.838313289;0.268944000,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3917,A,quadratic_radius,17,0.175532908,0.017237056,0.458743818;2.293400794;-1.850606313,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
