Galaxy,StellarMassVariant,RadiusKpc,VobsKms,ErrVobsKms,VbarKms,Model,VmodelKms,LogResidual,aN_over_a0,TPGLogKernel,RequiredS_tauDiagnostic,RadiusMatching,EndpointUse,ForbiddenUse,Guardrail
DDO50,kinematic,1.270000000,25.167800000,4.190000000,15.920298250,NewtonianBaryonic,15.920298250,0.198894055,0.053897285,1.070341261,0.542688920,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.270000000,25.167800000,4.190000000,15.920298250,MONDSimpleMu,35.011396560,-0.143364180,0.053897285,1.070341261,0.542688920,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.270000000,25.167800000,4.190000000,15.920298250,EmpiricalRARLike,34.976654501,-0.142933013,0.053897285,1.070341261,0.542688920,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.270000000,25.167800000,4.190000000,15.920298250,FixedTPG_S1,32.960450359,-0.117147883,0.053897285,1.070341261,0.542688920,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.380000000,25.950000000,4.060000000,16.195504591,NewtonianBaryonic,16.195504591,0.204742879,0.051330807,1.087027554,0.554076553,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.380000000,25.950000000,4.060000000,16.195504591,MONDSimpleMu,36.003640761,-0.142209058,0.051330807,1.087027554,0.554076553,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.380000000,25.950000000,4.060000000,16.195504591,EmpiricalRARLike,35.969507977,-0.141797135,0.051330807,1.087027554,0.554076553,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.380000000,25.950000000,4.060000000,16.195504591,FixedTPG_S1,33.800464334,-0.114785304,0.051330807,1.087027554,0.554076553,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.380000000,25.975100000,4.060000000,16.195504591,NewtonianBaryonic,16.195504591,0.205162745,0.051330807,1.087027554,0.555502288,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.380000000,25.975100000,4.060000000,16.195504591,MONDSimpleMu,36.003640761,-0.141789192,0.051330807,1.087027554,0.555502288,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.380000000,25.975100000,4.060000000,16.195504591,EmpiricalRARLike,35.969507977,-0.141377269,0.051330807,1.087027554,0.555502288,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.380000000,25.975100000,4.060000000,16.195504591,FixedTPG_S1,33.800464334,-0.114365438,0.051330807,1.087027554,0.555502288,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.500000000,29.670000000,3.330000000,16.495729691,NewtonianBaryonic,16.495729691,0.254946015,0.048991418,1.103018141,0.724056378,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.500000000,29.670000000,3.330000000,16.495729691,MONDSimpleMu,37.053089999,-0.096506885,0.048991418,1.103018141,0.724056378,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.500000000,29.670000000,3.330000000,16.495729691,EmpiricalRARLike,37.019464752,-0.096112589,0.048991418,1.103018141,0.724056378,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.500000000,29.670000000,3.330000000,16.495729691,FixedTPG_S1,34.690818795,-0.067897004,0.048991418,1.103018141,0.724056378,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.500000000,26.749500000,3.330000000,16.495729691,NewtonianBaryonic,16.495729691,0.209944137,0.048991418,1.103018141,0.563546034,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.500000000,26.749500000,3.330000000,16.495729691,MONDSimpleMu,37.053089999,-0.141508763,0.048991418,1.103018141,0.563546034,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.500000000,26.749500000,3.330000000,16.495729691,EmpiricalRARLike,37.019464752,-0.141114467,0.048991418,1.103018141,0.563546034,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.500000000,26.749500000,3.330000000,16.495729691,FixedTPG_S1,34.690818795,-0.112898882,0.048991418,1.103018141,0.563546034,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.620000000,30.980000000,3.470000000,16.795954791,NewtonianBaryonic,16.795954791,0.265876716,0.047028658,1.117063590,0.755992546,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.620000000,30.980000000,3.470000000,16.795954791,MONDSimpleMu,38.072687107,-0.089532116,0.047028658,1.117063590,0.755992546,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.620000000,30.980000000,3.470000000,16.795954791,EmpiricalRARLike,38.039437453,-0.089152672,0.047028658,1.117063590,0.755992546,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.620000000,30.980000000,3.470000000,16.795954791,FixedTPG_S1,35.558104347,-0.059857187,0.047028658,1.117063590,0.755992546,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.620000000,27.431300000,3.470000000,16.795954791,NewtonianBaryonic,16.795954791,0.213041693,0.047028658,1.117063590,0.566851105,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.620000000,27.431300000,3.470000000,16.795954791,MONDSimpleMu,38.072687107,-0.142367140,0.047028658,1.117063590,0.566851105,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.620000000,27.431300000,3.470000000,16.795954791,EmpiricalRARLike,38.039437453,-0.141987696,0.047028658,1.117063590,0.566851105,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.620000000,27.431300000,3.470000000,16.795954791,FixedTPG_S1,35.558104347,-0.112692210,0.047028658,1.117063590,0.566851105,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.730000000,31.480000000,3.790000000,17.071161132,NewtonianBaryonic,17.071161132,0.265771662,0.045493383,1.128483833,0.747946582,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.730000000,31.480000000,3.790000000,17.071161132,MONDSimpleMu,38.984340447,-0.092855467,0.045493383,1.128483833,0.747946582,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.730000000,31.480000000,3.790000000,17.071161132,EmpiricalRARLike,38.951340266,-0.092487682,0.045493383,1.128483833,0.747946582,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.730000000,31.480000000,3.790000000,17.071161132,FixedTPG_S1,36.335690474,-0.062298694,0.045493383,1.128483833,0.747946582,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
