GalaxyName,ClassAuditOnly,SPARC_RadiusKpc,SPARC_RadiusFraction,THINGS_RingIndex,THINGS_RingFractionCenter,RadiusFractionDelta,StressDispersion,StressVelocityAsymmetry,RankStressTHINGS,S_tau_things_frozen,GeometryMode,AbsResidualProjection,AbsResidualMONDSimple,AbsResidualRAR,ProjectionMinusMONDAbs,ProjectionMinusRARAbs
NGC2403,A,8.94,0.428366,5,0.458333333,0.029967333,0.948636166,1.136326379,0.873684211,0.126315789,things_global_pa_inclination_elliptical_annuli,0.0898073229029,0.0660894137361,0.06833150384,0.0237179091669,0.021475819063
NGC2403,A,9.44,0.452324,5,0.458333333,0.006009333,0.948636166,1.136326379,0.873684211,0.126315789,things_global_pa_inclination_elliptical_annuli,0.0836792470455,0.0581691491874,0.0602833014492,0.0255100978582,0.0233959455963
NGC2403,A,9.94,0.476282,5,0.458333333,0.017948667,0.948636166,1.136326379,0.873684211,0.126315789,things_global_pa_inclination_elliptical_annuli,0.0712461631166,0.0437929509502,0.0457855145404,0.0274532121665,0.0254606485762
NGC2403,A,10.43,0.49976,5,0.458333333,0.041426667,0.948636166,1.136326379,0.873684211,0.126315789,things_global_pa_inclination_elliptical_annuli,0.0638507462517,0.0347732302884,0.0366750998476,0.0290775159634,0.0271756464041
NGC2403,A,10.93,0.523718,6,0.541666667,0.017948667,0.840167724,1.159385072,0.894736842,0.105263158,things_global_pa_inclination_elliptical_annuli,0.0654352173765,0.0345958582768,0.036408599733,0.0308393590997,0.0290266176435
NGC2403,A,11.43,0.547676,6,0.541666667,0.006009333,0.840167724,1.159385072,0.894736842,0.105263158,things_global_pa_inclination_elliptical_annuli,0.0763637507657,0.0436014641486,0.0453261216601,0.032762286617,0.0310376291056
NGC2403,A,11.92,0.571155,6,0.541666667,0.029488333,0.840167724,1.159385072,0.894736842,0.105263158,things_global_pa_inclination_elliptical_annuli,0.0740419207207,0.0391577102115,0.040794493649,0.0348842105092,0.0332474270717
NGC2403,A,12.42,0.595113,7,0.625000000,0.029887000,0.777791704,0.996190383,0.715789474,0.284210526,things_global_pa_inclination_elliptical_annuli,0.0858225942752,0.0489066163188,0.0504669908923,0.0369159779564,0.0353556033829
NGC2403,A,12.92,0.61907,7,0.625000000,0.005930000,0.777791704,0.996190383,0.715789474,0.284210526,things_global_pa_inclination_elliptical_annuli,0.0910807522211,0.0519962674967,0.0534821775639,0.0390844847245,0.0375985746572
NGC2403,A,13.42,0.643028,7,0.625000000,0.018028000,0.777791704,0.996190383,0.715789474,0.284210526,things_global_pa_inclination_elliptical_annuli,0.0924890490067,0.0507545764926,0.0521579327086,0.0417344725141,0.040331116298
NGC2403,A,13.91,0.666507,7,0.625000000,0.041507000,0.777791704,0.996190383,0.715789474,0.284210526,things_global_pa_inclination_elliptical_annuli,0.0958445174432,0.0512133509688,0.0525354421739,0.0446311664744,0.0433090752694
NGC2403,A,14.41,0.690465,8,0.708333333,0.017868333,0.586218529,0.906000627,0.631578947,0.368421053,things_global_pa_inclination_elliptical_annuli,0.0979967555328,0.0505517172267,0.0518024425731,0.0474450383061,0.0461943129597
NGC2403,A,14.91,0.714423,8,0.708333333,0.006089667,0.586218529,0.906000627,0.631578947,0.368421053,things_global_pa_inclination_elliptical_annuli,0.107539169197,0.0572737839663,0.0584593611734,0.0502653852312,0.0490798080241
NGC2403,A,15.4,0.737901,8,0.708333333,0.029567667,0.586218529,0.906000627,0.631578947,0.368421053,things_global_pa_inclination_elliptical_annuli,0.110548736021,0.0573492236595,0.0584728634296,0.0531995123617,0.0520758725915
NGC2403,A,15.9,0.761859,9,0.791666667,0.029807667,0.378880569,0.939266854,0.652631579,0.347368421,things_global_pa_inclination_elliptical_annuli,0.106954747301,0.0506072811943,0.05167019668,0.0563474661068,0.0552845506211
NGC2403,A,16.4,0.785817,9,0.791666667,0.005849667,0.378880569,0.939266854,0.652631579,0.347368421,things_global_pa_inclination_elliptical_annuli,0.119059909571,0.0594198624055,0.0604247607863,0.0596400471658,0.058635148785
NGC2403,A,16.89,0.809296,9,0.791666667,0.017629333,0.378880569,0.939266854,0.652631579,0.347368421,things_global_pa_inclination_elliptical_annuli,0.125846925082,0.0625635626095,0.0635099337163,0.0632833624728,0.062336991366
NGC2403,A,17.39,0.833253,9,0.791666667,0.041586333,0.378880569,0.939266854,0.652631579,0.347368421,things_global_pa_inclination_elliptical_annuli,0.146699869517,0.0798089915044,0.0807025032026,0.0668908780123,0.065997366314
NGC2403,A,17.89,0.857211,10,0.875000000,0.017789000,0.180975179,0.460611461,0.294736842,0.705263158,things_global_pa_inclination_elliptical_annuli,0.153879853394,0.0831391733807,0.0839811317612,0.0707406800132,0.0698987216328
NGC2403,A,18.38,0.88069,10,0.875000000,0.005690000,0.180975179,0.460611461,0.294736842,0.705263158,things_global_pa_inclination_elliptical_annuli,0.153658029778,0.0790820136214,0.0798769688146,0.0745760161563,0.0737810609631
NGC2403,A,18.88,0.904648,10,0.875000000,0.029648000,0.180975179,0.460611461,0.294736842,0.705263158,things_global_pa_inclination_elliptical_annuli,0.14630356067,0.0677251298912,0.0684750968945,0.0785784307792,0.0778284637759
NGC2403,A,19.38,0.928606,11,0.958333333,0.029727333,0.001735381,0.101315790,0.084210526,0.915789474,things_global_pa_inclination_elliptical_annuli,0.157640629408,0.0757598561821,0.0764754750773,0.0818807732263,0.0811651543311
NGC2403,A,19.87,0.952084,11,0.958333333,0.006249333,0.001735381,0.101315790,0.084210526,0.915789474,things_global_pa_inclination_elliptical_annuli,0.172275835382,0.0879504476171,0.0886420990305,0.0843253877652,0.0836337363518
NGC2403,A,20.37,0.976042,11,0.958333333,0.017708667,0.001735381,0.101315790,0.084210526,0.915789474,things_global_pa_inclination_elliptical_annuli,0.164750279171,0.0779500152613,0.0786185679795,0.0868002639096,0.0861317111914
NGC2403,A,20.87,1,11,0.958333333,0.041666667,0.001735381,0.101315790,0.084210526,0.915789474,things_global_pa_inclination_elliptical_annuli,0.156801500867,0.0676295297098,0.0682769724962,0.0891719711574,0.088524528371
